final_ids_membs	final_ids_group	bound	    rs_final	    vs_final
128000000001553	120000000000426	0	 0.000000000	 0.000000000
112000000004075	128000000000835	0	 0.000000000	 0.000000000
109000000000245	128000000000078	0	 0.000000000	 0.000000000
128000000000398	128000000000078	0	20.476490605	 9.352971639
128000000001117	128000000000078	0	10.766401989	14.944330827
128000000001171	128000000000078	0	21.956109131	10.191341995
128000000002701	128000000000078	0	 3.887418381	14.418805466
128000000002930	128000000000078	0	24.000063464	 9.418809139
128000000003634	128000000000078	0	 6.134015147	18.417337174
109000000000148	128000000000073	0	 0.000000000	 0.000000000
109000000000344	128000000000073	0	 0.000000000	 0.000000000
128000000000660	128000000000073	0	12.820090644	 6.864390847
128000000000825	128000000000073	0	13.749253013	 9.898669416
128000000000890	128000000000073	0	13.131400752	10.018783321
128000000001072	128000000000073	0	15.757492570	12.426884904
128000000001511	128000000000073	0	15.501283308	 8.836155466
128000000001653	128000000000073	0	16.306386483	 6.771826343
128000000002211	128000000000073	0	13.896413002	11.751372240
128000000004821	128000000000073	0	 0.478867869	 1.914075513
114000000003044	128000000000073	0	 0.000000000	 0.000000000
128000000004938	128000000000073	0	12.623952678	12.905552712
128000000002445	128000000000597	0	 4.661755969	 6.342792277
111000000002995	128000000000126	0	 0.000000000	 0.000000000
111000000002032	128000000000596	0	 0.000000000	 0.000000000
116000000003230	128000000000596	0	 0.000000000	 0.000000000
128000000001725	112000000000166	0	 0.000000000	 0.000000000
112000000003566	128000000000795	0	 0.000000000	 0.000000000
126000000002125	128000000000082	0	 0.000000000	 0.000000000
128000000001866	128000000000082	1	 0.508339789	 1.393185912
116000000000019	126000000000007	0	 0.000000000	 0.000000000
120000000000168	126000000000007	0	 0.000000000	 0.000000000
116000000000117	126000000000007	0	 0.000000000	 0.000000000
119000000000122	126000000000007	0	 0.000000000	 0.000000000
128000000000384	126000000000007	0	 0.000000000	 0.000000000
128000000000696	126000000000007	0	 0.000000000	 0.000000000
128000000000599	126000000000007	0	 0.000000000	 0.000000000
128000000000746	126000000000007	0	 0.000000000	 0.000000000
128000000000671	126000000000007	0	 0.000000000	 0.000000000
122000000000992	126000000000007	0	 0.000000000	 0.000000000
128000000000851	126000000000007	0	 0.000000000	 0.000000000
117000000000845	126000000000007	0	 0.000000000	 0.000000000
128000000001100	126000000000007	0	 0.000000000	 0.000000000
128000000001084	126000000000007	0	 0.000000000	 0.000000000
128000000001391	126000000000007	0	 0.000000000	 0.000000000
118000000001467	126000000000007	0	 0.000000000	 0.000000000
128000000001219	126000000000007	0	 0.000000000	 0.000000000
128000000001500	126000000000007	0	 0.000000000	 0.000000000
128000000001299	126000000000007	0	 0.000000000	 0.000000000
128000000001411	126000000000007	0	 0.000000000	 0.000000000
128000000001559	126000000000007	0	 0.000000000	 0.000000000
128000000001837	126000000000007	0	 0.000000000	 0.000000000
116000000001685	126000000000007	0	 0.000000000	 0.000000000
128000000002083	126000000000007	0	 0.000000000	 0.000000000
