 r/R200_host	    v/v_crit
 2.199400894	 0.254834842
 0.715026518	 1.195820880
 0.339082149	 0.704082381
 0.824840579	 0.835413093
 0.955059368	 0.688628110
 0.902180486	 0.465508228
 0.355013548	 1.842953248
 0.401191074	 1.827337215
 1.223413888	 0.803174490
 0.859894687	 0.347814327
 0.507022759	 1.319649012
 0.323807287	 1.612933557
 1.203924166	 0.735325446
 1.574325529	 0.386924412
 0.576864737	 1.149094923
 1.777914771	 0.516031250
 1.088577472	 0.887715650
 0.086049836	 0.204758984
 0.534509503	 0.331830084
 0.633940784	 0.480334285
 0.629346869	 1.098764106
 0.115053912	 0.115049052
 0.409111849	 0.854780567
 0.305308445	 1.607370105
 0.414683626	 0.735484242
 0.739211922	 1.207174790
 1.467120654	 0.681979366
 0.418881945	 0.554584704
 1.248909974	 0.812490167
 0.261610823	 1.551001236
 0.252835001	 0.492200244
 0.564277830	 0.572985759
 0.817168001	 0.273613300
 1.204623924	 0.787004221
 0.238252187	 0.442395703
 0.381754901	 1.529695568
 1.359157018	 0.617790799
 0.189962946	 1.645939795
 0.198448257	 1.619522589
 0.403672551	 1.590952943
 0.524916536	 1.140205924
 1.034527140	 0.255356550
 1.053943111	 0.305796020
 0.049522879	 0.057041386
 0.592873190	 0.638586919
 0.398792513	 0.987726756
 0.523508520	 1.325090664
 0.796101969	 1.180657351
 0.647880495	 0.515061595
 0.275318497	 1.586055684
 0.744217192	 0.672171302
 0.804480006	 0.775269109
 1.121268623	 0.824230690
 1.064125947	 0.863325943
 0.752302107	 0.747027854
 0.482510008	 1.103582144
 1.322595674	 0.653885769
 0.331091884	 0.524863094
 1.030972877	 0.894101778
 1.115933814	 0.709445743
 0.613821934	 0.730826404
 1.232929943	 0.627525958
 0.420545648	 1.769384010
 0.516898257	 0.971125326
 0.433989938	 1.263094020
 0.573297937	 0.480125539
 0.414971439	 1.156486922
 0.500745909	 0.303182076
 0.606312100	 0.396627676
 0.664866616	 0.709415559
 0.698652839	 1.018486416
 1.421280150	 0.677690363
 0.824300338	 0.835821919
 0.833175720	 1.147788140
 0.507553244	 0.924520274
 1.830120312	 0.370814513
 0.232377647	 1.305700756
 0.487557644	 0.790559506
 1.122167427	 0.620239963
 0.033440119	 0.475201667
 0.567809696	 1.142676395
 1.617722539	 0.344887656
 0.550937943	 1.510202827
 1.101938957	 0.201785885
 0.303669508	 0.786091322
 1.141373298	 0.840908408
 0.519723125	 1.281030975
 0.534020294	 0.945525027
 1.052826958	 0.803664864
 0.318206179	 0.723609004
 0.314950291	 1.252645272
 0.394761485	 1.415781895
 0.647497140	 0.869897590
 1.291492428	 0.605942886
 0.214410699	 2.024248111
